Team,Coach,Week,Slot,Bench,Position,Player,Franchise,Stats,Fantasy Points,Opponent,Opponent Coach,Year,Game No.,Original Order,Gamecode,Playercode,Against Playercode,Postioncode,,,Team Name,Coach,,,,Coaches,,Position,,Seasons
Glorious Demon God Fist,Chris,1,TE,,TE,T. Kelce,KC,"40 Rec Yds,4 Rush Yds",4.4,GRONK GRONK GRONK GRONK,Niall,2017,2,51,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,Scankatchewan Dickriders,Scan,,,,,,,,
Glorious Demon God Fist,Chris,1,W/R,,RB,T. Montgomery,GB,"54 Rush Yds,1 Rush TD,39 Rec Yds",15.3,GRONK GRONK GRONK GRONK,Niall,2017,2,52,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,iVon2SackYou,Whytey,,,,,,,,
Glorious Demon God Fist,Chris,1,K,,K,A. Vinatieri,IND,"1 PAT Miss,1 20-29,1 Miss 30-39",3,GRONK GRONK GRONK GRONK,Niall,2017,2,53,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,Buffalo Beans,Beano,,,,,,,,
Glorious Demon God Fist,Chris,1,DEF,,DEF,Steelers,DEF,"18 Pts,7 Sck,1 Int,1 TD",16,GRONK GRONK GRONK GRONK,Niall,2017,2,54,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,Mr Limiteds Clowning Emporium,Dudley,,,,,,,,
Glorious Demon God Fist,Chris,1,BN1,BN,WR,D. Thomas,DEN,67 Rec Yds,6.7,GRONK GRONK GRONK GRONK,Niall,2017,2,55,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,We Are Borg-Ciaran,Ciaran,,,,,,,,
Glorious Demon God Fist,Chris,1,BN2,BN,QB,P. Rivers,LAC,"192 Pass Yds,3 Pass TD,1 Int",17.68,GRONK GRONK GRONK GRONK,Niall,2017,2,56,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,Big Heart No Brain,Niall,,,,,,,,
Glorious Demon God Fist,Chris,1,BN3,BN,WR,C. Hogan,NE,"8 Rec Yds,17 Rush Yds",2.5,GRONK GRONK GRONK GRONK,Niall,2017,2,57,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,Bailey's Borg,Dee,,,,,,,,
Glorious Demon God Fist,Chris,1,BN4,BN,RB,E. Lacy,SEA,3 Rush Yds,0.3,GRONK GRONK GRONK GRONK,Niall,2017,2,58,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,Call of Jeudy,Dudley,,,,,,,,
Glorious Demon God Fist,Chris,1,BN5,BN,RB,T. Coleman,ATL,"16 Rush Yds,42 Rec Yds",5.8,GRONK GRONK GRONK GRONK,Niall,2017,2,59,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,Cyberdyne Systems,Whytey,,,,,,,,
Glorious Demon God Fist,Chris,1,BN6,BN,RB,J. Ajayi,PHI,0,0,GRONK GRONK GRONK GRONK,Niall,2017,2,60,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,Double Cheeseburger,Beano,,,,,,,,
Crowler's Scowlers,Dee,1,QB,,QB,M. Ryan,ATL,"321 Pass Yds,1 Pass TD,11 Rush Yds",17.94,A great bunch of lads,Scan,2017,3,61,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,DeVonta let me win,Stephen,,,,,,,,
Crowler's Scowlers,Dee,1,RB1,,RB,B. Powell,NYJ,"22 Rush Yds,17 Rec Yds",3.9,A great bunch of lads,Scan,2017,3,62,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,We Are Borg,Chris,,,,,,,,
